Name,Constituency,Party,Note,Legislature
Daniel-Gheorghe Rusu,Alba,AUR, ,2020-2024
Beniamin Todosiu,Alba,USR, ,2020-2024
Radu-Marcel Tuhuț,Alba,PSD, ,2020-2024
Adrian Alda,Arad,PSD, ,2020-2024
Ovidiu-Sergiu Bîlcea,Arad,PNL, ,2020-2024
Péter Faragó,Arad,UDMR, ,2020-2024
Mihai-Viorel Fifor,Arad,PSD, ,2020-2024
Vasile Nagy,Arad,AUR, ,2020-2024
Glad-Aurel Varga,Arad,PNL, ,2020-2024
Adrian Wiener,Arad,USR, ,2020-2024
Aurel Bălășoiu,Argeș,PSD, ,2020-2024
Simona Bucura-Oprescu,Argeș,PSD, ,2020-2024
Mircia Chelaru,Argeș,AUR, ,2020-2024
Daniel Constantin,Argeș,PNL, ,2020-2024
Nicolae Georgescu,Argeș,PSD, ,2020-2024
Remus-Gabriel Mihalcea,Argeș,PSD, ,2020-2024
Gheorghe Adrian Miuțescu,Argeș,PNL, ,2020-2024
Liviu-Ionuț Moșteanu,Argeș,USR, ,2020-2024
Nicolae Pavelescu,Argeș,PSD, ,2020-2024
Antonio Andrușceac,Bacău,AUR, ,2020-2024
Ana-Maria Cătăuță,Bacău,PSD, ,2020-2024
Cătălina Ciofu,Bacău,PNL, ,2020-2024
Costel Neculai Dunava,Bacău,PSD, ,2020-2024
Mircea Fechet,Bacău,PNL, ,2020-2024
Ionel Floroiu,Bacău,PSD, ,2020-2024
Elena Hărătău,Bacău,PNL, ,2020-2024
Cristian-Paul Ichim,Bacău,PLUS, ,2020-2024
Claudiu-Augustin Ilișanu,Bacău,PSD, ,2020-2024
Teodor Lazăr,Bacău,USR, ,2020-2024
Rozália-Ibolya Biró,Bihor,UDMR, ,2020-2024
Steluța-Gustica Cătăniciu,Bihor,PSD, ,2020-2024
Vasile-Aurel Căuș,Bihor,PNL, ,2020-2024
Ioan Cupșa,Bihor,PNL, ,2020-2024
Silviu Dehelean,Bihor,USR, ,2020-2024
János Kiss,Bihor,PNL, ,2020-2024
Mihai Ioan Lasca,Bihor,AUR, ,2020-2024
Ioan Mang,Bihor,PSD, ,2020-2024
Ödön Szabó,Bihor,UDMR, ,2020-2024
Bogdan-Gruia Ivan,Bistrița-Năsăud,PSD, ,2020-2024
Olivia-Diana Morar,Bistrița-Năsăud,PNL, ,2020-2024
Lóránt-Zoltán Sas,Bistrița-Năsăud,PLUS, ,2020-2024
Robert-Ionatan Sighiartău,Bistrița-Năsăud,PNL, ,2020-2024
Vasile-Daniel Suciu,Bistrița-Năsăud,PSD, ,2020-2024
Marius-Constantin Budăi,Botoșani,PSD, ,2020-2024
Andrei-Iulian Drancă,Botoșani,USR, ,2020-2024
Lucian Feodorov,Botoșani,AUR, ,2020-2024
Constantin-Neculai Pătrăuceanu,Botoșani,PSD,until 1 February 2021[2] ,2020-2024
Alexandra Huțu,Botoșani,PSD,as of 1 February 2021[3] ,2020-2024
Dan-Constantin Șlincu,Botoșani,PSD, ,2020-2024
Costel Șoptică,Botoșani,PNL, ,2020-2024
Gabriel Andronache,Brașov,PNL, ,2020-2024
Ionuț-Sorin Banciu,Brașov,PNL, ,2020-2024
Tudor-Vlad Benga,Brașov,USR, ,2020-2024
Dumitru Flucuș,Brașov,PNL, ,2020-2024
Victor Ilie,Brașov,USR, ,2020-2024
Marius-Andrei Miftode,Brașov,USR, ,2020-2024
Ana-Loredana Predescu,Brașov,PSD, ,2020-2024
Marian-Iulian Rasaliu,Brașov,PSD, ,2020-2024
Francisc Tobă,Brașov,Independent, ,2020-2024
Ciprian Ciubuc,Brăila,AUR, ,2020-2024
Florin Mircea,Brăila,PSD, ,2020-2024
Nicu Niță,Brăila,PSD, ,2020-2024
George-Adrian Paladi,Brăila,PSD, ,2020-2024
Alexandru Popa,Brăila,PNL, ,2020-2024
Gabriel-Ioan Avrămescu,Buzău,PNL, ,2020-2024
Ion-Marcel Ciolacu,Buzău,PSD, ,2020-2024
Andi-Lucian Cristea,Buzău,PSD, ,2020-2024
Romeo-Daniel Lungu,Buzău,PSD, ,2020-2024
Nicolae Roman,Buzău,AUR, ,2020-2024
Laurențiu-Cristinel Țepeluș,Buzău,PSD, ,2020-2024
Emanuel-Dumitru Ungureanu,Buzău,USR, ,2020-2024
Romulus-Marius Damian,Caraș-Severin,PSD, ,2020-2024
Florin-Silviu Hurduzeu,Caraș-Severin,PSD, ,2020-2024
Attila Kelemen,Caraș-Severin,UDMR, ,2020-2024
Jaro Norbert Marșalic,Caraș-Severin,PNL, ,2020-2024
Dumitru Rujan,Caraș-Severin,PNL, ,2020-2024
Călin-Constantin Balabașciuc,Călărași,AUR, ,2020-2024
Constantin Bîrcă,Călărași,PSD, ,2020-2024
Dumitru Coarnă,Călărași,PSD, ,2020-2024
Florian-Emil Dumitru,Călărași,PNL, ,2020-2024
Patriciu-Andrei Achimaș-Cadariu,Cluj,PSD, ,2020-2024
Viorel Băltărețu,Cluj,PLUS, ,2020-2024
Cristina Burciu,Cluj,PNL, ,2020-2024
Ilie-Alin Coleșa,Cluj,AUR, ,2020-2024
Botond Csoma,Cluj,UDMR, ,2020-2024
Radu-Marin Moisin,Cluj,PNL, ,2020-2024
Sorin-Dan Moldovan,Cluj,PNL, ,2020-2024
Radu-Iulian Molnar,Cluj,USR, ,2020-2024
Oana Murariu,Cluj,PLUS, ,2020-2024
Ioan-Sabin Sărmaș,Cluj,PNL, ,2020-2024
Dănuț Aelenei,Constanța,AUR, ,2020-2024
Mircea-Marius Banias,Constanța,PNL, ,2020-2024
Bogdan-Alexandru Bola,Constanța,PNL, ,2020-2024
Marian Crușoveanu,Constanța,PNL, ,2020-2024
Ileana Cristina Dumitrache,Constanța,PSD, ,2020-2024
Dumitru-Viorel Focșa,Constanța,AUR, ,2020-2024
Bogdan-Iulian Huțucă,Constanța,PNL, ,2020-2024
Stelian-Cristian Ion,Constanța,USR, ,2020-2024
Dumitru-Lucian Lungoci,Constanța,PSD, ,2020-2024
Cristina Camelia Rizea,Constanța,PLUS, ,2020-2024
Marius Horia Țuțuianu,Constanța,PSD, ,2020-2024
Zakariás Benedek,Covasna,UDMR, ,2020-2024
Károly Gál,Covasna,UDMR, ,2020-2024
Csaba Könczei,Covasna,UDMR, ,2020-2024
Zoltán Miklós,Covasna,UDMR, ,2020-2024
Liviu-Ioan Balint,Dâmbovița,PNL, ,2020-2024
Daniel-Codruț Blaga,Dâmbovița,PLUS, ,2020-2024
Georgeta-Carmen Holban,Dâmbovița,PSD, ,2020-2024
Gabriel Plăiașu,Dâmbovița,PNL, ,2020-2024
Radu Mihai Popa,Dâmbovița,PSD, ,2020-2024
Marian Țachianu,Dâmbovița,PSD, ,2020-2024
Ioan Vulpescu,Dâmbovița,PSD, ,2020-2024
Iulian-Alexandru Badea,Dolj,PSD, ,2020-2024
Ringo Dămureanu,Dolj,AUR, ,2020-2024
Daniel-Sorin Gheba,Dolj,USR, ,2020-2024
Nicolae Giugea,Dolj,PNL, ,2020-2024
Eliza-Mădălina Peța-Ștefănescu,Dolj,PSD, ,2020-2024
Alexandra Presură,Dolj,PSD, ,2020-2024
Ștefan-Bucur Stoica,Dolj,PNL, ,2020-2024
Ionuț-Marian Stroe,Dolj,PNL, ,2020-2024
Alina-Elena Tănăsescu,Dolj,PSD, ,2020-2024
Laura-Cătălina Vicol-Ciorbă,Dolj,PSD, ,2020-2024
Onuț Valeriu Atanasiu,Galați,PNL, ,2020-2024
Laurențiu-Viorel Gîdei,Galați,PSD, ,2020-2024
Mitică-Marius Mărgărit,Galați,PSD, ,2020-2024
Sorin-Titus Muncaciu,Galați,AUR, ,2020-2024
Aurel Nechita,Galați,PSD, ,2020-2024
Bogdan-Ionel Rodeanu,Galați,USR, ,2020-2024
Viorica Sandu,Galați,PSD, ,2020-2024
Lilian Scripnic,Galați,AUR, ,2020-2024
George-Cătălin Stângă,Galați,PNL, ,2020-2024
Alexandru-Ioan Andrei,Giurgiu,PNL, ,2020-2024
Cristina-Elena Dinu,Giurgiu,PSD, ,2020-2024
Maria-Gabriela Horga,Giurgiu,PNL, ,2020-2024
Marian Mina,Giurgiu,PSD, ,2020-2024
Claudiu Manta,Gorj,PSD, ,2020-2024
Radu-Dinel Miruță,Gorj,USR, ,2020-2024
Gheorghe Pecingină,Gorj,PNL, ,2020-2024
Dan Vîlceanu,Gorj,PNL, ,2020-2024
Mihai Weber,Gorj,PSD, ,2020-2024
Sándor Bende,Harghita,UDMR, ,2020-2024
Gábor Hajdu,Harghita,UDMR, ,2020-2024
Hunor Kelemen,Harghita,UDMR, ,2020-2024
László-Zsolt Ladányi,Harghita,UDMR, ,2020-2024
Zoltán Zakariás,Harghita,UDMR, ,2020-2024
Anamaria Gavrilă,Hunedoara,AUR, ,2020-2024
Pollyanna-Hanellore Hangan,Hunedoara,USR, ,2020-2024
Natalia-Elena Intotero,Hunedoara,PSD, ,2020-2024
Viorel Sălan,Hunedoara,PSD, ,2020-2024
Vetuța Stănescu,Hunedoara,PNL, ,2020-2024
Ilie Toma,Hunedoara,PSD, ,2020-2024
Rodica-Luminița Barcari,Ialomița,PNL, ,2020-2024
Raluca Giorgiana Dumitrescu,Ialomița,PSD, ,2020-2024
Ștefan Mușoiu,Ialomița,PSD, ,2020-2024
Silviu-Titus Păunescu,Ialomița,AUR, ,2020-2024
Mihail Albișteanu,Iași,AUR, ,2020-2024
Monica-Elena Berescu,Iași,PLUS, ,2020-2024
Cosette-Paula Chichirău,Iași,USR, ,2020-2024
Vasile Cîtea,Iași,PSD, ,2020-2024
Filip Havârneanu,Iași,USR, ,2020-2024
Cristian-Daniel Ivănuță,Iași,AUR, ,2020-2024
Alexandru Kocsis-Cristea,Iași,PNL, ,2020-2024
Silviu Nicu Macovei,Iași,PSD, ,2020-2024
Iulian-Alexandru Muraru,Iași,PNL, ,2020-2024
Sorin Năcuță,Iași,PNL, ,2020-2024
Marius-Eugen Ostaficiuc,Iași,PSD, ,2020-2024
Vasilică Toma,Iași,PSD, ,2020-2024
Oana-Alexandra Cambera,Ilfov,PLUS, ,2020-2024
Andrei Daniel Gheorghe,Ilfov,PNL, ,2020-2024
Daniel-Florin Ghiță,Ilfov,PSD, ,2020-2024
Gianina Șerban,Ilfov,AUR, ,2020-2024
George-Cristian Tuță,Ilfov,PNL, ,2020-2024
Florin-Alexandru Alexe,Maramureș,PNL, ,2020-2024
Norbert Apjok,Maramureș,UDMR, ,2020-2024
Călin-Ioan Bota,Maramureș,PNL, ,2020-2024
Brian Cristian,Maramureș,PLUS, ,2020-2024
Darius Pop,Maramureș,AUR, ,2020-2024
Gheorghe Șimon,Maramureș,PSD, ,2020-2024
Gabriel-Valer Zetea,Maramureș,PSD, ,2020-2024
Virgil Alin Chirilă,Mehedinți,PSD, ,2020-2024
Cornel-Vasile Folescu,Mehedinți,PSD, ,2020-2024
Dumitru Mărculescu,Mehedinți,PNL, ,2020-2024
Virgil-Daniel Popescu,Mehedinți,PNL, ,2020-2024
Corneliu-Florin Buicu,Mureș,PSD, ,2020-2024
Éva-Andrea Csép,Mureș,UDMR, ,2020-2024
Adrian Giurgiu,Mureș,USR, ,2020-2024
Dumitrița Gliga,Mureș,PSD, ,2020-2024
Anquetil-Károly Kolcsár,Mureș,UDMR, ,2020-2024
József-György Kulcsár-Terza,Mureș,UDMR, ,2020-2024
Ervin Molnar,Mureș,PNL, ,2020-2024
Dan Tanasă,Mureș,AUR, ,2020-2024
Iulian Bulai,Neamț,USR, ,2020-2024
Oana-Gianina Bulai,Neamț,PSD, ,2020-2024
Mara-Daniela Calista,Neamț,PNL, ,2020-2024
Corneliu-Mugurel Cozmanciuc,Neamț,PNL, ,2020-2024
Laurențiu-Dan Leoreanu,Neamț,PNL, ,2020-2024
Dumitrina Mitrea,Neamț,AUR, ,2020-2024
Remus Munteanu,Neamț,PSD, ,2020-2024
Ciprian-Constantin Șerban,Neamț,PSD, ,2020-2024
Emil-Florin Albotă,Olt,PSD, ,2020-2024
Florin-Ionuț Barbu,Olt,PSD, ,2020-2024
Adrian-Ionuț Chesnoiu,Olt,PSD, ,2020-2024
Ion-Cătălin Grecu,Olt,PSD, ,2020-2024
Marius-Ionel Iancu,Olt,PSD, ,2020-2024
Gigel-Sorinel Știrbu,Olt,PNL, ,2020-2024
Adrian-George Axinia,Prahova,AUR, ,2020-2024
Grațiela-Leocadia Gavrilescu,Prahova,PSD, ,2020-2024
George Ionescu,Prahova,PNL, ,2020-2024
Andrei-Răzvan Lupu,Prahova,PLUS, ,2020-2024
Rodica Paraschiv,Prahova,PSD, ,2020-2024
Mihai-Laurențiu Polițeanu,Prahova,USR, ,2020-2024
Marian-Cătălin Predoiu,Prahova,PNL, ,2020-2024
Răzvan Sorin Prișcă,Prahova,PNL, ,2020-2024
Mircea Roșca,Prahova,PNL, ,2020-2024
Simona-Maya Teodoroiu,Prahova,PSD, ,2020-2024
Bogdan-Andrei Toader,Prahova,PSD, ,2020-2024
Adrian-Felician Cozma,Satu Mare,PNL, ,2020-2024
Radu-Mihai Cristescu,Satu Mare,PSD, ,2020-2024
Loránd-Bálint Magyar,Satu Mare,UDMR, ,2020-2024
Szabolcs Nagy,Satu Mare,UDMR, ,2020-2024
Radu Panait,Satu Mare,USR, ,2020-2024
Lucian Nicolae Bode,Sălaj,PNL, ,2020-2024
Florian-Claudiu Neaga,Sălaj,PSD, ,2020-2024
Alin-Costel Prunean,Sălaj,PLUS, ,2020-2024
Dénes Seres,Sălaj,UDMR, ,2020-2024
Ilie Dan Barna,Sibiu,USR, ,2020-2024
Sebastian-Ilie Suciu,Sibiu,AUR, ,2020-2024
Constantin Șovăială,Sibiu,PNL, ,2020-2024
Christine Thellmann,Sibiu,PNL, ,2020-2024
Bogdan Gheorghe Trif,Sibiu,PSD, ,2020-2024
Raluca Turcan,Sibiu,PNL, ,2020-2024
Dorel-Gheorghe Acatrinei,Suceava,AUR, ,2020-2024
Mirela Elena Adomnicăi,Suceava,PSD, ,2020-2024
Ioan Balan,Suceava,PNL, ,2020-2024
Eugen Bejinariu,Suceava,PSD, ,2020-2024
Radu Tudor Ciornei,Suceava,USR, ,2020-2024
Angelica Fădor,Suceava,PNL, ,2020-2024
Bogdan Gheorghiu,Suceava,PNL, ,2020-2024
Vlad Popescu,Suceava,PSD, ,2020-2024
Lucian-Florin Pușcașu,Suceava,AUR, ,2020-2024
Gheorghe Șoldan,Suceava,PSD, ,2020-2024
Costel Barbu,Teleorman,PNL, ,2020-2024
Florică Ică Calotă,Teleorman,PNL, ,2020-2024
Florin Piper-Savu,Teleorman,PSD, ,2020-2024
Paul Stancu,Teleorman,PSD, ,2020-2024
Maria Stoian,Teleorman,PNL, ,2020-2024
Ben-Oni Ardelean,Timiș,PNL, ,2020-2024
Claudiu-Martin Chira,Timiș,PNL, ,2020-2024
Cătălin Drulă,Timiș,USR, ,2020-2024
Nicu Fălcoi,Timiș,USR, ,2020-2024
Sorin Mihai Grindeanu,Timiș,PSD, ,2020-2024
Marilen-Gabriel Pirtea,Timiș,PNL, ,2020-2024
Alfred-Robert Simonis,Timiș,PSD, ,2020-2024
Ciprian-Titi Stoica,Timiș,AUR, ,2020-2024
Cosmin Șandru,Timiș,PNL, ,2020-2024
Daniel-Liviu Toda,Timiș,PLUS, ,2020-2024
Mirela Furtună,Tulcea,PSD, ,2020-2024
Michael Gudu,Tulcea,PNL, ,2020-2024
George Șișcu,Tulcea,PNL, ,2020-2024
Eugen Terente,Tulcea,USR, ,2020-2024
Mihai-Cătălin Botez,Vaslui,USR, ,2020-2024
Raisa Enachi,Vaslui,AUR, ,2020-2024
Tudor Polak,Vaslui,PNL, ,2020-2024
Eduard-Andrei Popica,Vaslui,PSD, ,2020-2024
Adrian Solomon,Vaslui,PSD, ,2020-2024
Irinel Ioan Stativă,Vaslui,PSD, ,2020-2024
Nelu Tătaru,Vaslui,PNL, ,2020-2024
Cristian Buican,Vâlcea,PNL, ,2020-2024
Laurențiu-Nicolae Cazan,Vâlcea,PNL, ,2020-2024
Ion-Marian Lazăr,Vâlcea,USR, ,2020-2024
Eugen Neață,Vâlcea,PSD, ,2020-2024
Daniela Oteșanu,Vâlcea,PSD, ,2020-2024
Ștefan-Ovidiu Popa,Vâlcea,PSD, ,2020-2024
Georgel Badiu,Vrancea,AUR, ,2020-2024
Ionel Dancă,Vrancea,PNL, ,2020-2024
Nicușor Halici,Vrancea,PSD, ,2020-2024
Elena Stoica,Vrancea,PSD, ,2020-2024
Ion Ștefan,Vrancea,PNL, ,2020-2024
Victoria-Violeta Alexandru,Bucharest,PNL, ,2020-2024
Alin-Gabriel Apostol,Bucharest,USR, ,2020-2024
Mihai-Alexandru Badea,Bucharest,USR, ,2020-2024
Cristian-Tudor Băcanu,Bucharest,PNL, ,2020-2024
Sebastian Ioan Burduja,Bucharest,PNL, ,2020-2024
Diana-Anda Buzoianu,Bucharest,PLUS, ,2020-2024
Daniel Florea,Bucharest,PSD, ,2020-2024
Oana-Consuela Florea,Bucharest,PSD, ,2020-2024
Nicoleta-Matilda Goleac,Bucharest,PSD, ,2020-2024
Carmen-Ileana Mihălcescu,Bucharest,PSD, ,2020-2024
Rodica Nassar,Bucharest,PSD, ,2020-2024
Claudiu-Iulius-Gavril Năsui,Bucharest,USR, ,2020-2024
Denisa-Elena Neagu,Bucharest,USR, ,2020-2024
Ludovic Orban,Bucharest,PNL, ,2020-2024
Oana-Marciana Özmen,Bucharest,USR, ,2020-2024
Rareș-Tudor Pop,Bucharest,USR, ,2020-2024
Dan-Cristian Popescu,Bucharest,PSD, ,2020-2024
Pavel Popescu,Bucharest,PNL, ,2020-2024
Cristina-Mădălina Prună,Bucharest,USR, ,2020-2024
Alexandru Rafila,Bucharest,PSD, ,2020-2024
Cristian-Gabriel Seidler,Bucharest,USR, ,2020-2024
George Nicolae Simion,Bucharest,AUR, ,2020-2024
Diana Stoica,Bucharest,PLUS, ,2020-2024
Antonel Tănase,Bucharest,PNL, ,2020-2024
Dragoș-Cătălin Teniță,Bucharest,PLUS, ,2020-2024
Cristina Trăilă,Bucharest,PNL, ,2020-2024
Daniel Tudorache,Bucharest,PSD, ,2020-2024
Adriana-Diana Tușa,Bucharest,PSD, ,2020-2024
Oana-Silvia Țoiu,Bucharest,PLUS, ,2020-2024
Varol Amet,Nationwide,National minorities, ,2020-2024
Ognean Crîstici,Nationwide,National minorities, ,2020-2024
Silviu Feodor,Nationwide,National minorities, ,2020-2024
Iulius Marian Firczak,Nationwide,National minorities, ,2020-2024
Ovidiu-Victor Ganț,Nationwide,National minorities, ,2020-2024
Giureci-Slobodan Ghera,Nationwide,National minorities, ,2020-2024
Andi-Gabriel Grosaru,Nationwide,National minorities, ,2020-2024
Iusein Ibram,Nationwide,National minorities, ,2020-2024
Ghervazen Longher,Nationwide,National minorities, ,2020-2024
Cătălin-Zamfir Manea,Nationwide,National minorities, ,2020-2024
Adrian-Miroslav Merka,Nationwide,National minorities, ,2020-2024
Gheorghe Nacov,Nationwide,National minorities, ,2020-2024
Varujan Pambuccian,Nationwide,National minorities, ,2020-2024
Nicolae-Miroslav Petrețchi,Nationwide,National minorities, ,2020-2024
Ionel Stancu,Nationwide,National minorities, ,2020-2024
Bogdan-Alin Stoica,Nationwide,National minorities, ,2020-2024
Silviu Vexler,Nationwide,National minorities, ,2020-2024
Dragoș-Gabriel Zisopol,Nationwide,National minorities, ,2020-2024
Valentin-Ilie Făgărășian,Abroad,PNL, ,2020-2024
Ștefan-Iulian Lőrincz,Abroad,USR, ,2020-2024
Simina-Geanina-Daniela Tulbure,Abroad,PLUS, ,2020-2024
Boris Volosatîi,Abroad,AUR, ,2020-2024
